INSCRICAO;CPF;NOME;NOTA;POS_AMPLA;POS_NEGRO;POS_PCD;CARGO;AREA;CARREIRA;NIVEL;EMAIL;TELEFONE;CELULAR;ENDERECO
2026023;105.905.795-39;MARCOS SANTOS RODRIGUES;88,24;24;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;marcos.santos.rodrigues@email.com;(71) 3345-6899;(71) 99458-4437;Rua SILVA, 949, Juazeiro-BA
2026024;749.348.870-53;PEDRO LIMA SOUZA;60,23;25;5;;CONTADOR;GERAL;TECNICA;SUPERIOR;pedro.lima.souza@email.com;(71) 3316-3621;(71) 99914-2368;Rua ALMEIDA, 138, Feira de Santana-BA
2026025;337.145.591-79;LEANDRO COSTA SOUZA;68,73;26;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;leandro.costa.souza@email.com;(71) 3383-9026;(71) 99544-3755;Rua LIMA, 527, Juazeiro-BA
2026026;716.502.405-67;ANA SILVA LIMA;83,52;27;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;ana.silva.lima@email.com;(71) 3362-3696;(71) 99420-8885;Rua SANTOS, 506, Itabuna-BA
2026027;286.458.618-45;PATRICIA ALMEIDA OLIVEIRA;84,81;28;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;patricia.almeida.oliveira@email.com;(71) 3393-9724;(71) 99350-9066;Rua FERREIRA, 26, Salvador-BA
2026028;658.210.361-28;LUCIANA SILVA NASCIMENTO;74,39;29;6;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;luciana.silva.nascimento@email.com;(71) 3311-9890;(71) 98607-2685;Rua ALMEIDA, 870, Juazeiro-BA
2026029;308.645.772-86;LEANDRO RODRIGUES LIMA;83,80;30;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;leandro.rodrigues.lima@email.com;(71) 3394-6565;(71) 98979-4155;Rua COSTA, 282, Itabuna-BA
2026030;220.117.969-87;ADRIANA OLIVEIRA SOUZA;80,27;31;;2;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;adriana.oliveira.souza@email.com;(71) 3317-5390;(71) 99254-9201;Rua OLIVEIRA, 265, Salvador-BA
2026031;758.820.280-68;MARCOS COSTA OLIVEIRA;76,02;32;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;marcos.costa.oliveira@email.com;(71) 3373-4186;(71) 98347-7462;Rua LIMA, 106, Itabuna-BA
2026032;440.767.803-79;MONICA OLIVEIRA SOUZA;71,27;33;7;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;monica.oliveira.souza@email.com;(71) 3330-4356;(71) 99200-5212;Rua FERREIRA, 270, Ilheus-BA
2026033;937.351.215-76;ANA OLIVEIRA SANTOS;73,03;34;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;ana.oliveira.santos@email.com;(71) 3318-3443;(71) 98801-6593;Rua SILVA, 670, Vitoria da Conquista-BA
2026034;998.569.246-79;JOAO OLIVEIRA LIMA;70,03;35;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;joao.oliveira.lima@email.com;(71) 3382-2649;(71) 99149-8255;Rua FERREIRA, 559, Vitoria da Conquista-BA
2026035;636.126.621-51;ANA LIMA NASCIMENTO;72,36;36;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;ana.lima.nascimento@email.com;(71) 3379-2328;(71) 98526-5908;Rua RODRIGUES, 365, Juazeiro-BA
2026036;275.747.737-53;JOSE RODRIGUES LIMA;76,49;37;8;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;jose.rodrigues.lima@email.com;(71) 3326-4493;(71) 99197-3594;Rua LIMA, 582, Salvador-BA
2026037;900.881.112-83;MARIA SANTOS RODRIGUES;68,53;38;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;maria.santos.rodrigues@email.com;(71) 3321-6523;(71) 98536-1739;Rua COSTA, 279, Ilheus-BA
2026038;903.794.658-73;MARCOS ALMEIDA RODRIGUES;86,86;39;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;marcos.almeida.rodrigues@email.com;(71) 3334-7545;(71) 98306-9469;Rua FERREIRA, 292, Ilheus-BA
2026039;588.694.968-43;FERNANDA OLIVEIRA SILVA;72,94;40;;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;fernanda.oliveira.silva@email.com;(71) 3325-1579;(71) 98029-4395;Rua COSTA, 308, Ilheus-BA
2026040;435.168.603-69;FERNANDA ALMEIDA RODRIGUES;82,51;41;9;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;fernanda.almeida.rodrigues@email.com;(71) 3363-4191;(71) 99182-9379;Rua LIMA, 573, Itabuna-BA
2026041;432.918.906-28;JOSE SANTOS OLIVEIRA;74,23;42;;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;jose.santos.oliveira@email.com;(71) 3362-2716;(71) 99065-5605;Rua COSTA, 614, Ilheus-BA
2026042;976.547.723-46;PATRICIA COSTA SOUZA;83,54;43;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;patricia.costa.souza@email.com;(71) 3354-3518;(71) 99276-6082;Rua COSTA, 327, Ilheus-BA
2026043;863.764.899-90;MONICA COSTA FERREIRA;92,93;44;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;monica.costa.ferreira@email.com;(71) 3365-4861;(71) 98107-4500;Rua SOUZA, 942, Feira de Santana-BA
2026044;700.788.568-14;PATRICIA SANTOS SILVA;90,95;45;9;;CONTADOR;GERAL;TECNICA;SUPERIOR;patricia.santos.silva@email.com;(71) 3359-4122;(71) 99804-4734;Rua NASCIMENTO, 992, Salvador-BA
2026045;491.221.258-88;MONICA SANTOS FERREIRA;89,09;46;;3;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;monica.santos.ferreira@email.com;(71) 3331-7123;(71) 98966-1231;Rua SILVA, 543, Juazeiro-BA
2026046;570.763.950-92;ANA SANTOS OLIVEIRA;75,65;47;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;ana.santos.oliveira@email.com;(71) 3343-9948;(71) 99889-5241;Rua COSTA, 549, Ilheus-BA
2026047;113.763.939-34;BRUNO SANTOS RODRIGUES;93,08;48;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;bruno.santos.rodrigues@email.com;(71) 3325-5130;(71) 98120-5340;Rua SILVA, 531, Itabuna-BA
2026048;614.953.292-46;JOAO SANTOS COSTA;60,17;49;10;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;joao.santos.costa@email.com;(71) 3349-3530;(71) 99580-3159;Rua COSTA, 672, Feira de Santana-BA
2026049;622.866.614-49;PATRICIA NASCIMENTO SOUZA;91,06;50;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;patricia.nascimento.souza@email.com;(71) 3369-7802;(71) 98739-1917;Rua FERREIRA, 223, Salvador-BA
2026050;932.413.124-36;MARCOS SOUZA NASCIMENTO;87,15;51;;;CONTADOR;GERAL;TECNICA;SUPERIOR;marcos.souza.nascimento@email.com;(71) 3351-6642;(71) 98518-8320;Rua RODRIGUES, 881, Feira de Santana-BA
2026051;176.765.765-62;CAMILA FERREIRA SANTOS;86,38;52;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;camila.ferreira.santos@email.com;(71) 3398-3740;(71) 99746-3268;Rua OLIVEIRA, 620, Ilheus-BA
2026052;394.282.415-54;RAFAEL SOUZA COSTA;85,05;53;11;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;rafael.souza.costa@email.com;(71) 3374-3910;(71) 99026-1154;Rua COSTA, 917, Juazeiro-BA
2026053;328.179.232-64;CAMILA SOUZA ALMEIDA;66,78;54;;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;camila.souza.almeida@email.com;(71) 3314-9577;(71) 99181-2362;Rua NASCIMENTO, 268, Ilheus-BA
2026054;105.874.277-44;FERNANDA ALMEIDA SANTOS;82,48;55;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;fernanda.almeida.santos@email.com;(71) 3354-3386;(71) 98305-2871;Rua SILVA, 199, Itabuna-BA
2026055;702.200.567-42;MARIA FERREIRA LIMA;82,42;56;;;CONTADOR;GERAL;TECNICA;SUPERIOR;maria.ferreira.lima@email.com;(71) 3330-7325;(71) 99501-5429;Rua LIMA, 134, Jequie-BA
2026056;757.423.973-69;ADRIANA FERREIRA OLIVEIRA;88,20;57;12;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;adriana.ferreira.oliveira@email.com;(71) 3344-6179;(71) 98332-7239;Rua COSTA, 388, Jequie-BA
2026057;388.410.448-65;ADRIANA SILVA LIMA;80,69;58;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;adriana.silva.lima@email.com;(71) 3311-5851;(71) 98870-8930;Rua FERREIRA, 447, Itabuna-BA
2026058;449.269.193-41;CAMILA NASCIMENTO FERREIRA;84,14;59;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;camila.nascimento.ferreira@email.com;(71) 3320-3365;(71) 99620-8533;Rua NASCIMENTO, 448, Salvador-BA
2026059;298.289.351-28;BRUNO NASCIMENTO OLIVEIRA;72,57;60;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;bruno.nascimento.oliveira@email.com;(71) 3399-3096;(71) 98532-1631;Rua RODRIGUES, 387, Feira de Santana-BA
2026060;434.359.569-71;LUCIANA FERREIRA COSTA;79,04;61;13;4;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;luciana.ferreira.costa@email.com;(71) 3322-8219;(71) 99617-7541;Rua SANTOS, 967, Ilheus-BA
2026061;314.986.796-34;FERNANDA ALMEIDA SOUZA;72,38;62;;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;fernanda.almeida.souza@email.com;(71) 3322-9469;(71) 99958-7777;Rua NASCIMENTO, 686, Juazeiro-BA
2026062;973.708.474-81;JOSE OLIVEIRA RODRIGUES;76,16;63;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;jose.oliveira.rodrigues@email.com;(71) 3392-5802;(71) 99837-7220;Rua OLIVEIRA, 100, Ilheus-BA
2026063;427.343.479-21;MONICA OLIVEIRA SOUZA;65,24;64;;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;monica.oliveira.souza@email.com;(71) 3347-7133;(71) 98592-6136;Rua RODRIGUES, 64, Itabuna-BA
2026064;732.816.431-38;CAMILA LIMA LIMA;60,38;65;13;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;camila.lima.lima@email.com;(71) 3398-6536;(71) 98225-5893;Rua NASCIMENTO, 34, Ilheus-BA
2026065;523.423.146-56;BRUNO LIMA ALMEIDA;92,77;66;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;bruno.lima.almeida@email.com;(71) 3389-8365;(71) 99076-8637;Rua NASCIMENTO, 504, Itabuna-BA
2026066;617.588.414-78;JOSE LIMA SILVA;70,64;67;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;jose.lima.silva@email.com;(71) 3387-4618;(71) 98537-4722;Rua ALMEIDA, 404, Itabuna-BA
2026067;695.695.935-44;MARCOS COSTA NASCIMENTO;63,71;68;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;marcos.costa.nascimento@email.com;(71) 3353-6412;(71) 99418-2528;Rua SILVA, 700, Juazeiro-BA
2026068;972.160.227-41;MONICA OLIVEIRA SILVA;73,59;69;14;;CONTADOR;GERAL;TECNICA;SUPERIOR;monica.oliveira.silva@email.com;(71) 3325-7874;(71) 99053-4701;Rua ALMEIDA, 506, Itabuna-BA
2026069;106.188.397-56;JOSE LIMA SANTOS;75,98;70;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;jose.lima.santos@email.com;(71) 3311-1639;(71) 98804-9431;Rua FERREIRA, 669, Ilheus-BA
2026070;894.585.525-15;FERNANDA FERREIRA RODRIGUES;61,28;71;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;fernanda.ferreira.rodrigues@email.com;(71) 3379-3630;(71) 99779-6660;Rua SOUZA, 926, Itabuna-BA
2026071;749.569.550-20;MONICA SOUZA OLIVEIRA;89,20;72;;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;monica.souza.oliveira@email.com;(71) 3398-1184;(71) 98664-9824;Rua COSTA, 469, Juazeiro-BA
2026072;426.752.237-45;CAMILA SANTOS RODRIGUES;66,69;73;15;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;camila.santos.rodrigues@email.com;(71) 3361-8417;(71) 99759-2153;Rua SANTOS, 568, Vitoria da Conquista-BA
2026073;599.481.783-82;PEDRO NASCIMENTO SANTOS;76,27;74;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;pedro.nascimento.santos@email.com;(71) 3336-1138;(71) 98992-2607;Rua COSTA, 897, Ilheus-BA
2026074;128.223.583-54;FERNANDA SOUZA OLIVEIRA;85,89;75;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;fernanda.souza.oliveira@email.com;(71) 3357-9271;(71) 98166-2349;Rua SILVA, 178, Jequie-BA
2026075;396.283.163-91;MONICA LIMA SANTOS;64,89;76;;4;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;monica.lima.santos@email.com;(71) 3314-8140;(71) 98165-9149;Rua RODRIGUES, 72, Ilheus-BA
2026076;504.288.958-54;LEANDRO LIMA COSTA;89,46;77;16;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;leandro.lima.costa@email.com;(71) 3320-2622;(71) 98760-3714;Rua LIMA, 408, Vitoria da Conquista-BA
2026077;167.456.308-84;PEDRO OLIVEIRA LIMA;88,33;78;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;pedro.oliveira.lima@email.com;(71) 3372-1252;(71) 98649-4326;Rua RODRIGUES, 719, Juazeiro-BA
2026078;612.822.407-63;RAFAEL LIMA OLIVEIRA;84,59;79;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;rafael.lima.oliveira@email.com;(71) 3326-5043;(71) 99739-2473;Rua OLIVEIRA, 828, Vitoria da Conquista-BA
2026079;123.174.259-56;CAMILA SOUZA LIMA;76,28;80;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;camila.souza.lima@email.com;(71) 3342-4407;(71) 98382-9461;Rua ALMEIDA, 296, Salvador-BA
2026080;191.518.311-35;BRUNO FERREIRA FERREIRA;90,83;81;17;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;bruno.ferreira.ferreira@email.com;(71) 3319-4771;(71) 99193-9732;Rua NASCIMENTO, 638, Feira de Santana-BA
2026081;128.956.791-55;LEANDRO SILVA LIMA;74,28;82;;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;leandro.silva.lima@email.com;(71) 3374-3870;(71) 98150-1521;Rua SOUZA, 765, Jequie-BA
2026082;292.570.829-22;ANA COSTA NASCIMENTO;93,66;83;;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;ana.costa.nascimento@email.com;(71) 3343-6604;(71) 99641-1970;Rua SILVA, 438, Juazeiro-BA
2026083;266.403.577-52;PEDRO COSTA FERREIRA;68,46;84;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;pedro.costa.ferreira@email.com;(71) 3398-3587;(71) 99713-6601;Rua ALMEIDA, 946, Salvador-BA
2026084;463.517.111-81;LEANDRO SILVA SILVA;89,93;85;17;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;leandro.silva.silva@email.com;(71) 3317-8771;(71) 98067-2328;Rua SOUZA, 771, Vitoria da Conquista-BA
2026085;394.977.858-94;JOSE RODRIGUES FERREIRA;94,97;86;;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;jose.rodrigues.ferreira@email.com;(71) 3319-8140;(71) 98034-2402;Rua ALMEIDA, 830, Vitoria da Conquista-BA
2026086;400.763.677-43;RAFAEL SOUZA OLIVEIRA;76,04;87;;;PROFESSOR;FISICA;MAGISTERIO;SUPERIOR;rafael.souza.oliveira@email.com;(71) 3366-3201;(71) 99527-6992;Rua SOUZA, 500, Ilheus-BA
2026087;665.950.565-84;MARCOS SANTOS NASCIMENTO;83,83;88;;;TECNICO;ASSUNTOS EDUCACIONAIS;TECNICA;SUPERIOR;marcos.santos.nascimento@email.com;(71) 3354-7720;(71) 99928-4956;Rua SANTOS, 880, Juazeiro-BA
2026088;484.846.623-11;LUCIANA LIMA ALMEIDA;78,77;89;18;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;luciana.lima.almeida@email.com;(71) 3325-2292;(71) 98993-8019;Rua SILVA, 910, Salvador-BA
2026089;810.123.590-27;FERNANDA RODRIGUES SILVA;61,54;90;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;fernanda.rodrigues.silva@email.com;(71) 3398-2111;(71) 98226-7089;Rua FERREIRA, 60, Ilheus-BA
2026090;579.306.823-12;MARCOS NASCIMENTO FERREIRA;69,65;91;;5;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;marcos.nascimento.ferreira@email.com;(71) 3335-9203;(71) 98235-6503;Rua NASCIMENTO, 786, Feira de Santana-BA
2026091;591.292.849-38;FERNANDA SOUZA COSTA;90,16;92;;;ANALISTA;TECNOLOGIA DA INFORMACAO;TECNICA;SUPERIOR;fernanda.souza.costa@email.com;(71) 3321-2450;(71) 99535-6025;Rua ALMEIDA, 447, Ilheus-BA
2026092;835.495.369-69;LEANDRO SANTOS NASCIMENTO;79,60;93;19;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;leandro.santos.nascimento@email.com;(71) 3312-3931;(71) 99078-6379;Rua LIMA, 616, Salvador-BA
2026093;992.185.684-78;JOSE RODRIGUES LIMA;81,10;94;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;jose.rodrigues.lima@email.com;(71) 3348-8120;(71) 98179-3836;Rua SOUZA, 670, Juazeiro-BA
2026094;404.364.918-95;LUCIANA NASCIMENTO COSTA;94,41;95;;;BIBLIOTECARIO;DOCUMENTALISTA;TECNICA;SUPERIOR;luciana.nascimento.costa@email.com;(71) 3339-6575;(71) 98865-3725;Rua SILVA, 898, Itabuna-BA
2026095;818.465.120-79;ANA COSTA COSTA;90,38;96;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;ana.costa.costa@email.com;(71) 3336-4552;(71) 99180-7615;Rua SOUZA, 419, Vitoria da Conquista-BA
2026096;340.180.653-69;LUCIANA RODRIGUES OLIVEIRA;88,39;97;20;;ASSISTENTE;ADMINISTRACAO;TECNICA;MEDIO;luciana.rodrigues.oliveira@email.com;(71) 3318-3129;(71) 99282-9112;Rua SOUZA, 462, Feira de Santana-BA
2026097;438.428.530-12;MONICA LIMA FERREIRA;86,16;98;;;PROFESSOR;MATEMATICA;MAGISTERIO;SUPERIOR;monica.lima.ferreira@email.com;(71) 3375-6308;(71) 98732-7482;Rua SANTOS, 939, Salvador-BA
2026098;987.699.308-52;LUCIANA LIMA SOUZA;87,74;99;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;luciana.lima.souza@email.com;(71) 3334-4246;(71) 99380-1900;Rua OLIVEIRA, 363, Ilheus-BA
2026099;224.199.774-72;RAFAEL COSTA OLIVEIRA;76,42;100;;;PROFESSOR;PORTUGUES;MAGISTERIO;SUPERIOR;rafael.costa.oliveira@email.com;(71) 3341-4175;(71) 99071-4228;Rua SANTOS, 362, Jequie-BA
